source,window_s,prefix_bin,roots,resampling_units,family,info,status,crps,zero_brier,median_abs_error,interval_score90,width90,coverage50,coverage80,coverage90,coverage95,msle_saved_median
weibo,300,0,1622,1438,hurdle,I0,available,71.88497432173146,4.039913203144389e-06,77.79284833538841,1138.8273736128237,319.0,0.9019728729963009,0.9549938347718866,0.9722564734895192,0.9796547472256474,1.1343903962983921
weibo,300,0,1622,1438,hurdle,I1,available,71.89239305410997,6.431469378482527e-05,78.5265104808878,1131.7533908754624,302.0,0.9001233045622689,0.9525277435265105,0.9704069050554871,0.9790382244143033,1.1645084489868516
weibo,300,0,1622,1438,qrf,I0,available,67.25120252033518,0.0,74.57583230579532,1101.0690505548705,177.0,0.49506781750924783,0.7983970406905055,0.9414303329223181,0.9796547472256474,1.1932750383540045
weibo,300,0,1622,1438,qrf,I1,available,67.25047993587827,0.0,74.57583230579532,1100.9547883271682,177.66666666666669,0.49506781750924783,0.8000411015207564,0.9418413481298807,0.9796547472256474,1.1932750383540045
weibo,300,0,1622,1438,ngboost,I0,available,68.04355139521317,9.698828405639353e-06,75.7324290998767,1107.612823674476,174.0,0.5493218249075216,0.9093711467324291,0.94019728729963,0.9630086313193588,1.06943017162846
weibo,300,0,1622,1438,ngboost,I1,available,67.78974025096824,1.4704483485683415e-05,74.95067817509248,1115.9938347718867,151.0,0.5702836004932182,0.8958076448828607,0.9290998766954377,0.9525277435265105,1.0755942060003356
weibo,300,0,1622,1438,nb2_glm,I0,available,71.88954073139318,0.0075505201046732594,77.44882860665845,1141.1627620221948,323.0,0.9019728729963009,0.9549938347718866,0.9728729963008631,0.9796547472256474,1.1209082331472606
weibo,300,0,1622,1438,nb2_glm,I1,available,71.84413617417033,0.005306812495481894,78.5265104808878,1133.569667077682,305.0,0.9001233045622689,0.9525277435265105,0.9704069050554871,0.9790382244143033,1.1645084489868516
weibo,300,0,1622,1438,poisson_glm,I0,available,74.07340794179333,3.8268186138263516e-30,77.11837237977805,1388.8520345252775,19.0,0.07829839704069051,0.11775585696670776,0.16029593094944514,0.19790382244143034,1.1086116926466332
weibo,300,0,1622,1438,poisson_glm,I1,available,107.0510226061985,1.9593111660819646e-80,112.5363748458693,1968.189889025894,32.0,0.011097410604192354,0.031442663378545004,0.04808877928483354,0.054870530209617754,2.4626706327285857
weibo,300,0,1622,1438,empirical_window,I0,available,69.61340506192865,1.469444444444442e-05,75.50924784217015,1206.4451294697903,447.0,0.5900123304562269,0.8625154130702836,0.9808877928483354,0.9889025893958077,1.0671884473617028
weibo,300,0,1622,1438,conditional_empirical,I0,available,68.7993016029593,0.0,74.70776818742293,1214.6411837237977,54.0,0.5795314426633785,0.686806411837238,0.8292231812577066,0.9210850801479655,1.0969030404009856
weibo,300,1-2,1516,1277,hurdle,I0,available,54.10290850819965,1.0614618857517637e-05,59.00197889182058,801.523746701847,383.344327176781,0.8073878627968337,0.9736147757255936,0.9815303430079155,0.9861477572559367,1.2329570896726854
weibo,300,1-2,1516,1277,hurdle,I1,available,52.64239985906981,7.571588369583874e-05,58.70976253298153,774.1259894459102,330.18139841688657,0.7473614775725593,0.9709762532981531,0.9782321899736148,0.9828496042216359,1.2066337756726186
weibo,300,1-2,1516,1277,qrf,I0,available,45.1236016609123,0.0,51.19129287598945,695.368073878628,153.20448548812664,0.5,0.7948548812664907,0.9346965699208444,0.9755936675461742,0.9777310438042943
weibo,300,1-2,1516,1277,qrf,I1,available,45.19489431826626,3.9841559250669966e-08,51.21284080914687,701.5734388742304,157.78276165347407,0.5167106420404572,0.8175021987686897,0.9291996481970097,0.9736147757255936,0.9652099909536407
weibo,300,1-2,1516,1277,ngboost,I0,available,46.15724835130072,9.698828405639351e-06,52.78298153034301,701.4142480211082,174.0,0.5131926121372031,0.9281002638522428,0.9591029023746702,0.9722955145118733,0.9504165211242998
weibo,300,1-2,1516,1277,ngboost,I1,available,46.05984862061547,1.0855561633952399e-05,52.50923482849604,703.0349604221636,160.79221635883906,0.5329815303430079,0.9036939313984169,0.9511873350923483,0.9689973614775725,0.9460649670828329
weibo,300,1-2,1516,1277,nb2_glm,I0,available,54.0055257762283,0.006384129823814924,58.47031662269129,804.207783641161,386.9518469656992,0.8891820580474934,0.9736147757255936,0.9821899736147758,0.9861477572559367,1.2080880542823764
weibo,300,1-2,1516,1277,nb2_glm,I1,available,52.68641688645212,0.005013141469015855,58.352242744063325,778.5105540897098,336.9274406332454,0.7955145118733509,0.9716358839050132,0.9782321899736148,0.9835092348284961,1.1908583808822724
weibo,300,1-2,1516,1277,poisson_glm,I0,available,73.60717188201042,3.3498736873374984e-55,77.94063324538259,1326.9069920844327,27.96240105540897,0.027704485488126648,0.04947229551451187,0.06266490765171503,0.07519788918205805,2.0295836940702396
weibo,300,1-2,1516,1277,poisson_glm,I1,available,87.8687105278908,1.3104610500014807e-27,92.8245382585752,1596.97691292876,30.45976253298153,0.025725593667546173,0.04617414248021108,0.05870712401055409,0.06992084432717678,2.4409671580965107
weibo,300,1-2,1516,1277,empirical_window,I0,available,48.962048397246576,1.4694444444444416e-05,52.4967018469657,844.2823218997362,447.0,0.5639841688654353,0.7994722955145118,0.8799472295514512,0.9742744063324539,0.9405017906787315
weibo,300,1-2,1516,1277,conditional_empirical,I0,available,49.13528443271764,0.0,51.97559366754617,729.207783641161,77.24208443271768,0.37994722955145116,0.7447229551451188,0.8126649076517151,0.9907651715039578,1.0431319099944274
weibo,300,3-9,1251,934,hurdle,I0,available,97.15901010862791,2.949149861986561e-05,111.35491606714628,1372.963229416467,465.30535571542765,0.7513988808952837,0.9344524380495604,0.9592326139088729,0.9680255795363709,1.3404734054418959
weibo,300,3-9,1251,934,hurdle,I1,available,97.33563453873353,8.391937305722371e-06,112.87050359712231,1380.1550759392485,397.8689048760991,0.7234212629896083,0.9200639488409272,0.9440447641886491,0.9608313349320543,1.3669501936716417
weibo,300,3-9,1251,934,qrf,I0,available,93.81807764809433,1.0476608547760577e-05,108.83772981614709,1388.707434052758,359.40287769784175,0.5054622968292033,0.806554756195044,0.8936850519584333,0.9392486011191047,1.2816765892804203
weibo,300,3-9,1251,934,qrf,I1,available,95.88351524945345,0.00032492859642396896,109.10471622701839,1439.4098054889423,453.5744737543299,0.5523581135091926,0.8196109778843591,0.901945110578204,0.9507061017852384,1.30112833512809
weibo,300,3-9,1251,934,ngboost,I0,available,99.57313213517371,4.1049861208634055e-05,116.26298960831335,1456.2486011191047,195.64108713029577,0.4540367705835332,0.8025579536370904,0.8872901678657075,0.9280575539568345,1.7182479622381115
weibo,300,3-9,1251,934,ngboost,I1,available,98.17916932509091,0.0001628585843922518,114.51159072741807,1439.722621902478,241.22541966426857,0.47961630695443647,0.8057553956834532,0.8896882494004796,0.935251798561151,1.5851296010344127
weibo,300,3-9,1251,934,nb2_glm,I0,available,97.21013318909424,0.005354289657308422,111.34612310151878,1374.2741806554757,467.6394884092726,0.762589928057554,0.935251798561151,0.9592326139088729,0.9680255795363709,1.340426766009145
weibo,300,3-9,1251,934,nb2_glm,I1,available,97.27136476042695,0.004296453555092969,112.74820143884892,1378.2517985611512,401.7849720223821,0.7354116706634692,0.9224620303756994,0.9448441247002398,0.9624300559552358,1.369049095053965
weibo,300,3-9,1251,934,poisson_glm,I0,available,154.8446241588913,2.5025206440706334e-101,161.78337330135892,2875.6746602717826,41.62190247801759,0.015187849720223821,0.03437250199840128,0.04476418864908074,0.050359712230215826,2.441573522412149
weibo,300,3-9,1251,934,poisson_glm,I1,available,129.4535989096875,1.3175880587238152e-44,135.32214228617107,2399.03517186251,36.04556354916067,0.027977617905675458,0.05515587529976019,0.07274180655475619,0.0903277378097522,1.8909971619857255
weibo,300,3-9,1251,934,empirical_window,I0,available,97.6634141510815,1.4694444444444413e-05,116.63629096722622,1370.3892885691446,447.0,0.5371702637889688,0.8233413269384492,0.8952837729816147,0.9344524380495604,1.7589708751382285
weibo,300,3-9,1251,934,conditional_empirical,I0,available,96.24964092725817,0.0,111.05835331734612,1422.9568345323742,287.9128697042366,0.45883293365307753,0.7266187050359713,0.8377298161470823,0.9048760991207034,1.3283679468628153
weibo,300,10-49,526,362,hurdle,I0,available,324.78559192403765,0.02247925552554525,399.10076045627375,4288.855513307984,597.3726235741445,0.42585551330798477,0.7243346007604563,0.8155893536121673,0.8612167300380228,3.1243292786544634
weibo,300,10-49,526,362,hurdle,I1,available,323.5621425481722,0.020379384378358272,397.9771863117871,4257.239543726236,567.5437262357415,0.39543726235741444,0.7167300380228137,0.8098859315589354,0.8669201520912547,3.0487947186538915
weibo,300,10-49,526,362,qrf,I0,available,284.97020636891267,0.02351900282398315,336.3688212927757,3741.143852978454,1208.6850443599494,0.47718631178707227,0.738276299112801,0.8257287705956907,0.8935361216730038,1.9552512334521575
weibo,300,10-49,526,362,qrf,I1,available,272.58494955971537,0.017715569394455632,334.393536121673,3370.89670468948,1140.567173637516,0.5006337135614701,0.7908745247148289,0.8922686945500634,0.9455006337135614,1.687659393887273
weibo,300,10-49,526,362,ngboost,I0,available,341.2943228884245,0.02251228896938416,413.69011406844106,4380.32319391635,506.25475285171103,0.21102661596958175,0.6140684410646388,0.7775665399239544,0.8536121673003803,4.001681592356743
weibo,300,10-49,526,362,ngboost,I1,available,330.65752044291673,0.022400981690838387,409.4847908745247,3964.8231939163497,673.1501901140684,0.23954372623574144,0.6159695817490495,0.7984790874524715,0.8726235741444867,3.6918427607639823
weibo,300,10-49,526,362,nb2_glm,I0,available,325.0179501207677,0.024072054978070197,399.4942965779468,4290.030418250951,598.4334600760457,0.42585551330798477,0.7262357414448669,0.8384030418250951,0.8840304182509505,3.139130771186693
weibo,300,10-49,526,362,nb2_glm,I1,available,324.64740997932154,0.023251586748121455,399.7528517110266,4257.0342205323195,567.3764258555133,0.3897338403041825,0.7129277566539924,0.8231939163498099,0.8783269961977186,3.1363712615786907
weibo,300,10-49,526,362,poisson_glm,I0,available,407.0052294573903,0.022813688212927757,418.638783269962,7760.87072243346,70.33840304182509,0.02091254752851711,0.030418250950570342,0.039923954372623575,0.04752851711026616,2.6480407430501396
weibo,300,10-49,526,362,poisson_glm,I1,available,344.810079415734,0.022813688212927757,354.6102661596958,6578.439163498098,59.61787072243346,0.026615969581749048,0.06273764258555133,0.07984790874524715,0.10266159695817491,2.292140988803349
weibo,300,10-49,526,362,empirical_window,I0,available,363.9702951208304,0.02265347771440642,429.61216730038024,4777.608365019011,447.0,0.13688212927756654,0.48098859315589354,0.7300380228136882,0.8593155893536122,5.641894595484622
weibo,300,10-49,526,362,conditional_empirical,I0,available,285.89211863117856,0.0235680608365019,336.212927756654,3754.3688212927755,1136.764258555133,0.44866920152091255,0.7357414448669202,0.7984790874524715,0.8954372623574145,1.9616634261262593
weibo,300,50+,85,67,hurdle,I0,available,2302.8401550382573,0.0798827845886106,2472.505882352941,40173.34117647059,873.8117647058823,0.16470588235294117,0.36470588235294116,0.4235294117647059,0.6,7.868610882851232
weibo,300,50+,85,67,hurdle,I1,available,2169.3984251406355,0.07092734326575792,2466.8117647058825,32791.41176470588,2005.764705882353,0.18823529411764706,0.4117647058823529,0.5764705882352941,0.7058823529411765,7.527692113478636
weibo,300,50+,85,67,qrf,I0,available,1773.5176523027476,0.07407950098738114,2332.309803921569,12075.964705882352,8224.513725490197,0.4509803921568627,0.788235294117647,0.8941176470588236,0.9411764705882353,6.297440819387594
weibo,300,50+,85,67,qrf,I1,available,1480.9739180006986,0.05336188631381739,2121.6117647058823,8457.517647058823,7691.243137254902,0.6,0.8666666666666666,0.968627450980392,0.9764705882352941,3.753324167517517
weibo,300,50+,85,67,ngboost,I0,available,2012.0168895369502,0.08080621998284841,2435.670588235294,23925.976470588233,3727.3882352941177,0.2235294117647059,0.611764705882353,0.788235294117647,0.8588235294117647,6.621084137198467
weibo,300,50+,85,67,ngboost,I1,available,1990.544673231292,0.0735566888726323,2435.141176470588,22527.317647058822,5491.317647058823,0.29411764705882354,0.6235294117647059,0.9058823529411765,0.9882352941176471,6.317254107545864
weibo,300,50+,85,67,nb2_glm,I0,available,2300.597562183825,0.0760403390552115,2469.423529411765,40154.0,875.4117647058823,0.17647058823529413,0.35294117647058826,0.5058823529411764,0.6588235294117647,7.7068840918711725
weibo,300,50+,85,67,nb2_glm,I1,available,2150.8499495976816,0.07980369925333283,2442.835294117647,32778.129411764705,1961.4235294117648,0.17647058823529413,0.4,0.5294117647058824,0.6941176470588235,7.710948987363886
weibo,300,50+,85,67,poisson_glm,I0,available,2682.504643050504,0.08235294117647059,2709.6117647058823,52776.364705882355,161.30588235294118,0.011764705882352941,0.03529411764705882,0.03529411764705882,0.03529411764705882,8.317797153457759
weibo,300,50+,85,67,poisson_glm,I1,available,2946.44530081104,0.08235294117647059,2973.6,58052.541176470586,162.18823529411765,0.023529411764705882,0.07058823529411765,0.07058823529411765,0.07058823529411765,9.26969741457723
weibo,300,50+,85,67,empirical_window,I0,available,2408.4817183594796,0.08173626307189541,2518.1882352941175,44470.529411764706,447.0,0.03529411764705882,0.12941176470588237,0.29411764705882354,0.47058823529411764,12.68111437956214
weibo,300,50+,85,67,conditional_empirical,I0,available,1860.0980894117642,0.07538823529411764,2375.6588235294116,18904.164705882355,6485.576470588236,0.3764705882352941,0.788235294117647,0.8588235294117647,0.9647058823529412,6.607518073737313
weibo,900,0,764,708,hurdle,I0,available,71.26627266095207,1.0670262316934836e-05,77.86649214659685,1122.0157068062827,285.0,0.8769633507853403,0.9450261780104712,0.9607329842931938,0.9698952879581152,1.170743515060598
weibo,900,0,764,708,hurdle,I1,available,71.28718200236655,0.0001340092434633428,78.17277486910994,1119.0104712041884,271.0,0.8756544502617801,0.9397905759162304,0.9607329842931938,0.9672774869109948,1.1808367002854652
weibo,900,0,764,708,qrf,I0,available,68.06679607184604,0.0,75.81937172774869,1118.1204188481674,151.0,0.5719895287958116,0.7892670157068062,0.925392670157068,0.9698952879581152,1.3236251131403103
weibo,900,0,764,708,qrf,I1,available,68.06482807236547,1.3291234551974708e-09,75.81937172774869,1117.4904013961607,152.33333333333331,0.5719895287958116,0.8184991273996508,0.9258289703315882,0.9698952879581152,1.3236251131403103
weibo,900,0,764,708,ngboost,I0,available,68.8169581906006,5.152381871377835e-06,76.31937172774869,1134.068062827225,137.0,0.5497382198952879,0.8769633507853403,0.918848167539267,0.9410994764397905,1.1503008352157476
weibo,900,0,764,708,ngboost,I1,available,68.75586854031624,1.924849209069299e-05,75.90575916230367,1136.3141361256544,136.0,0.5772251308900523,0.8717277486910995,0.918848167539267,0.9410994764397905,1.1808805362347348
weibo,900,0,764,708,nb2_glm,I0,available,71.28591600021387,0.008412787969521204,77.58638743455498,1123.4450261780105,288.0,0.8756544502617801,0.9450261780104712,0.9607329842931938,0.9698952879581152,1.162105559898744
weibo,900,0,764,708,nb2_glm,I1,available,71.28434067022414,0.005949434015177143,78.17277486910994,1120.2251308900525,273.0,0.8756544502617801,0.9410994764397905,0.9607329842931938,0.9672774869109948,1.1808367002854652
weibo,900,0,764,708,poisson_glm,I0,available,75.21090655481339,1.7345898501479368e-12,76.94502617801047,1452.9685863874345,12.0,0.25,0.46335078534031415,0.5117801047120419,0.5314136125654451,1.6748206577043125
weibo,900,0,764,708,poisson_glm,I1,available,78.14882506602493,5.24514938128678e-38,81.61256544502618,1449.8795811518326,22.0,0.056282722513089,0.1243455497382199,0.17539267015706805,0.20026178010471204,1.3195191827102875
weibo,900,0,764,708,empirical_window,I0,available,69.12271086794856,0.00016469444444444469,76.01832460732984,1157.083769633508,403.0,0.6675392670157068,0.9450261780104712,0.9698952879581152,0.9842931937172775,1.167140325529674
weibo,900,0,764,708,conditional_empirical,I0,available,69.92189738219895,0.0,75.81937172774869,1236.9057591623036,54.0,0.3494764397905759,0.6963350785340314,0.8298429319371727,0.925392670157068,1.32362511314031
weibo,900,1-2,982,889,hurdle,I0,available,63.84803547307276,2.8575587060365608e-05,68.41649694501018,1041.8329938900204,343.13645621181263,0.835030549898167,0.9816700610997964,0.9877800407331976,0.9928716904276986,1.3390601366619044
weibo,900,1-2,982,889,hurdle,I1,available,61.31234996448277,0.00036677609813922486,66.72606924643584,990.8676171079429,284.4725050916497,0.7820773930753564,0.9765784114052953,0.9867617107942973,0.9908350305498982,1.2264833317701644
weibo,900,1-2,982,889,qrf,I0,available,53.84998038819087,0.0,58.0173116089613,920.2505091649695,121.28920570264766,0.48981670061099797,0.8808553971486762,0.9490835030549898,0.9786150712830958,0.9801181228101549
weibo,900,1-2,982,889,qrf,I1,available,53.83184812729749,5.676357480264443e-06,58.08825526137136,922.7688391038697,129.2725729803123,0.5230821452817379,0.8906992532247116,0.945010183299389,0.9809911744738629,0.9423267542537189
weibo,900,1-2,982,889,ngboost,I0,available,55.54159407630301,5.1523818713778334e-06,61.36150712830957,922.6822810590631,137.0,0.4663951120162933,0.9266802443991853,0.9531568228105907,0.9725050916496945,0.9579695507938664
