source,window_s,prefix_bin,roots,resampling_units,unconditional_crps,conditional_crps,conditional_minus_unconditional
weibo,300,0,1622,1438,69.61340506192865,68.7993016029593,-0.814103458969344
weibo,300,1-2,1516,1277,48.962048397246576,49.13528443271764,0.1732360354710651
weibo,300,3-9,1251,934,97.6634141510815,96.24964092725817,-1.413773223823341
weibo,300,10-49,526,362,363.9702951208304,285.89211863117856,-78.07817648965187
weibo,300,50+,85,67,2408.4817183594796,1860.0980894117642,-548.3836289477149
weibo,900,0,764,708,69.12271086794856,69.92189738219895,0.7991865142503984
weibo,900,1-2,982,889,58.27795623037094,54.236720162932784,-4.0412360674381524
weibo,900,3-9,1720,1357,29.64041010594523,26.936986046511613,-2.703424059433617
weibo,900,10-49,1168,816,107.48219360121973,96.35110547945197,-11.131088121767757
weibo,900,50+,366,260,1025.6233337377068,733.6160131147537,-292.00732062295316
weibo,3600,0,334,316,77.3333771608465,77.57623473053889,0.24285756969240488
weibo,3600,1-2,386,362,24.332073803829942,23.179083937823826,-1.1529898660061146
weibo,3600,3-9,1547,1312,28.344317895408388,24.18617401422107,-4.158143881187311
weibo,3600,10-49,1814,1341,28.115303978655188,25.949420066152136,-2.1658839125030513
weibo,3600,50+,919,617,436.394174138165,314.3308953210009,-122.063278817164
seismic,300,0,103,103,38.651808112460415,36.23577669902906,-2.416031413431354
seismic,300,1-2,106,106,52.53959021540967,50.350478301886724,-2.189111913522942
seismic,300,3-9,497,497,26.36497695724432,20.555794366197137,-5.809182591047183
seismic,300,10-49,2866,2866,32.36181971371335,27.72814473133281,-4.63367498238054
seismic,300,50+,1428,1428,156.9174757966862,114.54565546218467,-42.37182033450156
seismic,900,0,53,53,40.05637825891024,34.659984905660295,-5.396393353249962
seismic,900,1-2,49,49,41.34589257029519,39.66891836734687,-1.6769742029483152
seismic,900,3-9,171,171,29.259864006823005,25.680715204678297,-3.5791488021447098
seismic,900,10-49,2433,2433,25.448787733457028,19.396142704480027,-6.052645028977002
seismic,900,50+,2294,2294,94.5612217253225,70.30193073234511,-24.259290992977384
seismic,3600,0,26,26,55.26041818589773,42.32259230769225,-12.937825878205489
seismic,3600,1-2,20,20,31.134820750000294,20.47381999999991,-10.661000750000383
seismic,3600,3-9,51,51,29.82822663235323,22.7954392156862,-7.032787416667033
seismic,3600,10-49,1585,1585,20.030706869874088,14.148910662460546,-5.88179620741354
seismic,3600,50+,3318,3318,54.417018037522894,41.30363987341765,-13.113378164105239
