source,family,info,window_s,roots,MSLE_saved_median,log_base,scope
weibo,hurdle,I0,0,5000,1.9524635948427982,e,post13F supplementary; published leaderboards not directly comparable
weibo,hurdle,I0,300,5000,1.5396611053124394,e,post13F supplementary; published leaderboards not directly comparable
weibo,hurdle,I0,900,5000,1.7993465158610364,e,post13F supplementary; published leaderboards not directly comparable
weibo,hurdle,I0,3600,5000,2.5183831633549185,e,post13F supplementary; published leaderboards not directly comparable
weibo,hurdle,I1,0,5000,1.830024128679312,e,post13F supplementary; published leaderboards not directly comparable
weibo,hurdle,I1,300,5000,1.5343328104234435,e,post13F supplementary; published leaderboards not directly comparable
weibo,hurdle,I1,900,5000,1.7345615487298587,e,post13F supplementary; published leaderboards not directly comparable
weibo,hurdle,I1,3600,5000,2.2211780268846333,e,post13F supplementary; published leaderboards not directly comparable
weibo,qrf,I0,0,5000,1.383172820677231,e,post13F supplementary; published leaderboards not directly comparable
weibo,qrf,I0,300,5000,1.3169708812502183,e,post13F supplementary; published leaderboards not directly comparable
weibo,qrf,I0,900,5000,1.4043952101438824,e,post13F supplementary; published leaderboards not directly comparable
weibo,qrf,I0,3600,5000,1.4281523706375927,e,post13F supplementary; published leaderboards not directly comparable
weibo,qrf,I1,0,5000,1.1620291113903929,e,post13F supplementary; published leaderboards not directly comparable
weibo,qrf,I1,300,5000,1.24664068023297,e,post13F supplementary; published leaderboards not directly comparable
weibo,qrf,I1,900,5000,1.137481215753694,e,post13F supplementary; published leaderboards not directly comparable
weibo,qrf,I1,3600,5000,1.1019654381845145,e,post13F supplementary; published leaderboards not directly comparable
weibo,ngboost,I0,0,5000,1.541600582136511,e,post13F supplementary; published leaderboards not directly comparable
weibo,ngboost,I0,300,5000,1.598530410881439,e,post13F supplementary; published leaderboards not directly comparable
weibo,ngboost,I0,900,5000,1.4813949920880503,e,post13F supplementary; published leaderboards not directly comparable
weibo,ngboost,I0,3600,5000,1.544876343440044,e,post13F supplementary; published leaderboards not directly comparable
weibo,ngboost,I1,0,5000,1.4845473983816013,e,post13F supplementary; published leaderboards not directly comparable
weibo,ngboost,I1,300,5000,1.5281442628854847,e,post13F supplementary; published leaderboards not directly comparable
weibo,ngboost,I1,900,5000,1.4249093468747975,e,post13F supplementary; published leaderboards not directly comparable
weibo,ngboost,I1,3600,5000,1.5005885853845218,e,post13F supplementary; published leaderboards not directly comparable
weibo,nb2_glm,I0,0,5000,1.9037909922182534,e,post13F supplementary; published leaderboards not directly comparable
weibo,nb2_glm,I0,300,5000,1.5265432924375262,e,post13F supplementary; published leaderboards not directly comparable
weibo,nb2_glm,I0,900,5000,1.762993904123571,e,post13F supplementary; published leaderboards not directly comparable
weibo,nb2_glm,I0,3600,5000,2.421835780093663,e,post13F supplementary; published leaderboards not directly comparable
weibo,nb2_glm,I1,0,5000,1.886917615638543,e,post13F supplementary; published leaderboards not directly comparable
weibo,nb2_glm,I1,300,5000,1.5424032750206058,e,post13F supplementary; published leaderboards not directly comparable
weibo,nb2_glm,I1,900,5000,1.7570781005385492,e,post13F supplementary; published leaderboards not directly comparable
weibo,nb2_glm,I1,3600,5000,2.3612714713564738,e,post13F supplementary; published leaderboards not directly comparable
weibo,poisson_glm,I0,0,5000,2.249219469124638,e,post13F supplementary; published leaderboards not directly comparable
weibo,poisson_glm,I0,300,5000,2.0058615422218407,e,post13F supplementary; published leaderboards not directly comparable
weibo,poisson_glm,I0,900,5000,2.237301187610513,e,post13F supplementary; published leaderboards not directly comparable
weibo,poisson_glm,I0,3600,5000,2.5044956775415605,e,post13F supplementary; published leaderboards not directly comparable
weibo,poisson_glm,I1,0,5000,2.21847955151564,e,post13F supplementary; published leaderboards not directly comparable
weibo,poisson_glm,I1,300,5000,2.410837173590769,e,post13F supplementary; published leaderboards not directly comparable
weibo,poisson_glm,I1,900,5000,2.034822407031671,e,post13F supplementary; published leaderboards not directly comparable
weibo,poisson_glm,I1,3600,5000,2.2097790739244796,e,post13F supplementary; published leaderboards not directly comparable
weibo,empirical_window,I0,0,5000,2.088560944300366,e,post13F supplementary; published leaderboards not directly comparable
weibo,empirical_window,I0,300,5000,1.8805568441150513,e,post13F supplementary; published leaderboards not directly comparable
weibo,empirical_window,I0,900,5000,2.0637901413602795,e,post13F supplementary; published leaderboards not directly comparable
weibo,empirical_window,I0,3600,5000,2.3213358474257677,e,post13F supplementary; published leaderboards not directly comparable
weibo,conditional_empirical,I0,0,5000,1.3868936117560093,e,post13F supplementary; published leaderboards not directly comparable
weibo,conditional_empirical,I0,300,5000,1.3231654014034833,e,post13F supplementary; published leaderboards not directly comparable
weibo,conditional_empirical,I0,900,5000,1.3933023693920266,e,post13F supplementary; published leaderboards not directly comparable
weibo,conditional_empirical,I0,3600,5000,1.4442130644725184,e,post13F supplementary; published leaderboards not directly comparable
seismic,hurdle,I0,0,5000,0.9898756728353902,e,post13F supplementary; published leaderboards not directly comparable
seismic,hurdle,I0,300,5000,0.6892752523088554,e,post13F supplementary; published leaderboards not directly comparable
seismic,hurdle,I0,900,5000,0.9214452638339123,e,post13F supplementary; published leaderboards not directly comparable
seismic,hurdle,I0,3600,5000,1.358906502363403,e,post13F supplementary; published leaderboards not directly comparable
seismic,hurdle,I1,0,5000,0.754152618679274,e,post13F supplementary; published leaderboards not directly comparable
seismic,hurdle,I1,300,5000,0.590402715861439,e,post13F supplementary; published leaderboards not directly comparable
seismic,hurdle,I1,900,5000,0.6708825784230773,e,post13F supplementary; published leaderboards not directly comparable
seismic,hurdle,I1,3600,5000,1.0011725617533056,e,post13F supplementary; published leaderboards not directly comparable
seismic,qrf,I0,0,5000,0.7051942250892848,e,post13F supplementary; published leaderboards not directly comparable
seismic,qrf,I0,300,5000,0.5586188587129645,e,post13F supplementary; published leaderboards not directly comparable
seismic,qrf,I0,900,5000,0.6854036734706744,e,post13F supplementary; published leaderboards not directly comparable
seismic,qrf,I0,3600,5000,0.8715601430842155,e,post13F supplementary; published leaderboards not directly comparable
seismic,qrf,I1,0,5000,0.5530487451491565,e,post13F supplementary; published leaderboards not directly comparable
seismic,qrf,I1,300,5000,0.48840008618581043,e,post13F supplementary; published leaderboards not directly comparable
seismic,qrf,I1,900,5000,0.5190029531314202,e,post13F supplementary; published leaderboards not directly comparable
seismic,qrf,I1,3600,5000,0.6517431961302387,e,post13F supplementary; published leaderboards not directly comparable
seismic,ngboost,I0,0,5000,0.7053523477836919,e,post13F supplementary; published leaderboards not directly comparable
seismic,ngboost,I0,300,5000,0.5714497042170609,e,post13F supplementary; published leaderboards not directly comparable
seismic,ngboost,I0,900,5000,0.6699196434678375,e,post13F supplementary; published leaderboards not directly comparable
seismic,ngboost,I0,3600,5000,0.8746876956661775,e,post13F supplementary; published leaderboards not directly comparable
seismic,ngboost,I1,0,5000,0.5608719172287905,e,post13F supplementary; published leaderboards not directly comparable
seismic,ngboost,I1,300,5000,0.49765303708299236,e,post13F supplementary; published leaderboards not directly comparable
seismic,ngboost,I1,900,5000,0.5143026225183336,e,post13F supplementary; published leaderboards not directly comparable
seismic,ngboost,I1,3600,5000,0.6706600920850455,e,post13F supplementary; published leaderboards not directly comparable
seismic,nb2_glm,I0,0,5000,0.9900416957334711,e,post13F supplementary; published leaderboards not directly comparable
seismic,nb2_glm,I0,300,5000,0.6902506608611086,e,post13F supplementary; published leaderboards not directly comparable
seismic,nb2_glm,I0,900,5000,0.9208270043858622,e,post13F supplementary; published leaderboards not directly comparable
seismic,nb2_glm,I0,3600,5000,1.3590474219534425,e,post13F supplementary; published leaderboards not directly comparable
seismic,nb2_glm,I1,0,5000,0.8251677459656311,e,post13F supplementary; published leaderboards not directly comparable
seismic,nb2_glm,I1,300,5000,0.5964891166798277,e,post13F supplementary; published leaderboards not directly comparable
seismic,nb2_glm,I1,900,5000,0.7387271959412189,e,post13F supplementary; published leaderboards not directly comparable
seismic,nb2_glm,I1,3600,5000,1.140286925275847,e,post13F supplementary; published leaderboards not directly comparable
seismic,poisson_glm,I0,0,5000,1.2756086061531837,e,post13F supplementary; published leaderboards not directly comparable
seismic,poisson_glm,I0,300,5000,0.9441871911589065,e,post13F supplementary; published leaderboards not directly comparable
seismic,poisson_glm,I0,900,5000,1.2097075140030735,e,post13F supplementary; published leaderboards not directly comparable
seismic,poisson_glm,I0,3600,5000,1.672931113297572,e,post13F supplementary; published leaderboards not directly comparable
seismic,poisson_glm,I1,0,5000,0.982090732570972,e,post13F supplementary; published leaderboards not directly comparable
seismic,poisson_glm,I1,300,5000,0.6645002413695165,e,post13F supplementary; published leaderboards not directly comparable
seismic,poisson_glm,I1,900,5000,0.8594871675197646,e,post13F supplementary; published leaderboards not directly comparable
seismic,poisson_glm,I1,3600,5000,1.4222847888236352,e,post13F supplementary; published leaderboards not directly comparable
seismic,empirical_window,I0,0,5000,1.0438119916442006,e,post13F supplementary; published leaderboards not directly comparable
seismic,empirical_window,I0,300,5000,0.794788283993579,e,post13F supplementary; published leaderboards not directly comparable
seismic,empirical_window,I0,900,5000,0.9912898595161912,e,post13F supplementary; published leaderboards not directly comparable
seismic,empirical_window,I0,3600,5000,1.3453578314228318,e,post13F supplementary; published leaderboards not directly comparable
seismic,conditional_empirical,I0,0,5000,0.7033295367971784,e,post13F supplementary; published leaderboards not directly comparable
seismic,conditional_empirical,I0,300,5000,0.5601235646721966,e,post13F supplementary; published leaderboards not directly comparable
seismic,conditional_empirical,I0,900,5000,0.6838615874673021,e,post13F supplementary; published leaderboards not directly comparable
seismic,conditional_empirical,I0,3600,5000,0.8660034582520364,e,post13F supplementary; published leaderboards not directly comparable
