source,family,noise_replicate,complete,CRPS
weibo,hurdle,0,True,124.1371570604633
weibo,hurdle,1,True,124.1110292250457
weibo,hurdle,2,True,124.12450801744501
weibo,qrf,0,True,101.47872814998884
weibo,qrf,1,True,101.23440665822297
weibo,qrf,2,True,103.1182720443827
weibo,ngboost,0,True,111.28616242580468
weibo,ngboost,1,True,111.24949875847769
weibo,ngboost,2,True,111.31264955400444
seismic,hurdle,0,True,52.07503986209786
seismic,hurdle,1,True,52.06735924001084
seismic,hurdle,2,True,52.04559615699054
seismic,qrf,0,True,42.65212688183252
seismic,qrf,1,True,42.68498734705706
seismic,qrf,2,True,42.64235172649959
seismic,ngboost,0,True,42.67039510715958
seismic,ngboost,1,True,42.745812620285896
seismic,ngboost,2,True,42.673987089758946
